career_talk_id,company_name,meet_name,meet_time,meet_day,address,room,company_property,scale,industry_category,city_name,professionals,career_type,a_meet_end_time,a_meet_time,career_state,company_id,hotcount,is_above_bachelor_degree,is_above_college_degree,is_above_doctor_degree,is_above_master_degree,is_yun,meet_day_d,meet_day_m,meet_type,overdue,recruit_type,school_name,view_count
638450,启东乾朔电子有限公司,乾朔电子校园招聘宣讲会,14:00,2024-10-15,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,1000-5000人,制造业,南通市,"机械工程,智能制造工程,机械类,机械电子工程,电气工程及其自动化,电气工程与自动化,计算机软件,电气工程与智能控制",,1728979200,1728972000,0,100487,0,0,0,0,0,0,15,10,0,0,,重庆工商职业学院,164
635888,欣旺达动力科技股份有限公司,欣旺达动力科技股份有限公司,12:30,2024-10-12,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,10000人以上,制造业,深圳市,"机械设计制造类,数控技术,工业工程技术,机电设备类,装备智能化技术,自动化类,机械电子工程技术",,1728712800,1728707400,0,382909,1,0,0,0,0,0,12,10,0,0,,重庆工商职业学院,538
635010,温州医科大学附属第一医院,温州医科大学附属第一医院2025年事业编招聘宣讲会,14:30,2024-10-11,412教室/第一教学楼,,医疗卫生单位,5000-10000人,卫生和社会工作,温州市,"临床医学,临床医学5+3,外科学,妇产科学,肿瘤学,骨科学,护理,护理学,医学影像技术,医学技术,影像医学与核医学,放射影像学",,1728633600,1728628200,0,414612,0,0,0,1,0,0,11,10,0,0,,重庆医科大学,2644
632819,厦门天马微电子有限公司,中航工业厦门天马（新国企）宣讲会,14:00,2024-10-10,D201,,国有企业,10000人以上,制造业,厦门市,不限专业,,1728547200,1728540000,0,43118,13,0,0,0,0,0,10,10,0,0,,重庆工商职业学院,307
636085,联合汽车电子有限公司太仓分公司,联合汽车电子有限公司太仓分公司校园招聘会,14:00,2024-10-10,大学生创业就业中心临时安排场地,线上宣讲,外商投资企业,1000-5000人,制造业,苏州市,"机械类,过程装备与控制工程,智能制造工程,电气类,电气工程及其自动化,电气工程与智能控制,自动化类,自动化",,1728547200,1728540000,0,495201,0,0,1,0,0,0,10,10,0,0,,重庆工商职业学院,298
637954,上海顺城物流有限公司,顺丰集团苏沪区2025届校园招聘,12:30,2024-10-10,临时场地,,其他企业（含民营企业等）,10000人以上,交通运输、仓储和邮政业,上海市,不限专业,,1728540000,1728534600,0,397465,0,0,0,0,0,0,10,10,0,0,,重庆工商职业学院,364
633239,合肥高科科技股份有限公司,合肥高科科技股份有限公司,12:30,2024-10-10,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,1000-5000人,制造业,合肥市,"机械类,机械工程,机械设计制造及其自动化,材料成型及控制工程,机械电子工程,机电技术教育,电气工程与智能控制,自动化,物联网应用技术,计算机应用技术,计算机网络技术,机械制造与自动化,大数据技术与应用,不限专业",,1728626400,1728534600,0,463687,0,0,0,0,0,0,10,10,0,0,,重庆工商职业学院,410
636753,浙江心怡供应链管理有限公司,菜鸟供应链浙沪区2025届校招宣讲会,16:40,2024-10-09,临时场地,,其他企业（含民营企业等）,50-150人,交通运输、仓储和邮政业,杭州市,不限专业,,1728468000,1728463200,0,418926,0,0,1,0,0,0,09,10,0,0,,重庆工商职业学院,331
636848,上海迅赞供应链科技有限公司,京东物流华东区校园招聘,14:00,2024-10-09,临时场地,,其他企业（含民营企业等）,10000人以上,交通运输、仓储和邮政业,嘉定,不限专业,,1728460800,1728453600,0,236522,6,0,1,0,0,0,09,10,0,0,,重庆工商职业学院,166
635695,零跑汽车有限公司,零跑汽车有限公司,12:30,2024-10-09,大学生创业就业中心宣讲室（一）,,其他企业（含民营企业等）,500-1000人,制造业,金华市,不限专业,,1728453600,1728448200,0,358233,6,0,0,0,0,0,09,10,0,0,,重庆工商职业学院,396
